"X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","MPG","MPS","Height","Weight","AWD","Pos"
0.0950741525423729,0.206302966101695,0.0786546610169492,0.201006355932203,0.0341631355932203,0.0405190677966102,0.0188029661016949,0.124205508474576,0.064353813559322,0.0203919491525424,0.00503177966101695,0.053760593220339,0.0611758474576271,23.0243902439024,1258.66666666667,195.072,99,"0","SG"
0.0996409335727109,0.189407540394973,0.033213644524237,0.112208258527828,0.0385996409335727,0.0583482944344704,0.0278276481149013,0.0978456014362657,0.0457809694793537,0.0493716337522442,0.018850987432675,0.0601436265709156,0.108617594254937,18.5666666666667,371.333333333333,204.216,98.1,"0","SF"
0.0388625592417062,0.0900473933649289,0.0900473933649289,0.235071090047393,0.042654028436019,0.0473933649289099,0.0180094786729858,0.0654028436018957,0.0388625592417062,0.0360189573459716,0.00853080568720379,0.0322274881516588,0.109004739336493,15.5147058823529,1055,201.168,85.5,"0","SG"
0.0700116686114352,0.154025670945158,0.0280046674445741,0.101516919486581,0.0338389731621937,0.0513418903150525,0.015169194865811,0.101516919486581,0.126021003500583,0.0408401400233372,0.0105017502917153,0.0665110851808635,0.0875145857642941,16.4807692307692,857,195.072,99,"0","SG"
0.151515151515152,0.278787878787879,0.0606060606060606,0.175757575757576,0.0545454545454545,0.0666666666666667,0.0363636363636364,0.0787878787878788,0.0727272727272727,0.0484848484848485,0.00606060606060606,0.0545454545454545,0.0666666666666667,7.5,165,195.072,84.15,"0","SG"
0.126684636118598,0.21832884097035,0.00539083557951483,0.0512129380053908,0.0188679245283019,0.045822102425876,0.0404312668463612,0.123989218328841,0.078167115902965,0.0242587601078167,0.0161725067385445,0.045822102425876,0.0592991913746631,9.76315789473684,371,198.12,94.5,"0","SF"
0.0522648083623693,0.106271777003484,0.0505226480836237,0.177700348432056,0.00871080139372822,0.0209059233449477,0.0418118466898955,0.141114982578397,0.0418118466898955,0.0191637630662021,0.0400696864111498,0.0574912891986063,0.130662020905923,13.3488372093023,574,216.408,101.25,"0","PF"
0.0433168316831683,0.0767326732673267,0.0866336633663366,0.215346534653465,0.0358910891089109,0.0433168316831683,0.0284653465346535,0.0965346534653465,0.0581683168316832,0.025990099009901,0.0358910891089109,0.0408415841584158,0.0940594059405941,12.0597014925373,808,185.928,101.25,"0","PF"
0.107467204843592,0.22351160443996,0.0398587285570131,0.0978809283551968,0.0554994954591322,0.0640766902119072,0.024217961654894,0.0842583249243189,0.160443995963673,0.0428859737638749,0.0065590312815338,0.0575176589303734,0.0711402623612513,26.4266666666667,1982,195.072,103.05,"1","SG"
0.109619686800895,0.215510812826249,0.035048471290082,0.101416853094705,0.064131245339299,0.093214019388516,0.0343027591349739,0.131245339299031,0.0484712900820283,0.0268456375838926,0.0141685309470544,0.0514541387024608,0.106636838180462,17.1923076923077,1341,201.168,100.35,"1","SF"
0.0460652591170825,0.09021113243762,0.0575815738963532,0.18426103646833,0.0345489443378119,0.0441458733205374,0.0518234165067179,0.134357005758157,0.0921305182341651,0.0345489443378119,0.017274472168906,0.0518234165067179,0.0844529750479846,9.64814814814815,521,207.264,96.75,"0","SF"
0.122203098106713,0.2346528973035,0.0418818129661503,0.129087779690189,0.0654044750430293,0.104417670682731,0.0556511761331038,0.145152036718302,0.0349971313826736,0.0390131956397017,0.0407343660355709,0.0625358577165806,0.151462994836489,21.2560975609756,1743,210.312,108,"0","PF"
0.0678314491264132,0.165467625899281,0.013360739979445,0.065775950668037,0.0184994861253854,0.0328879753340185,0.0205549845837616,0.0719424460431655,0.134635149023638,0.0298047276464543,0.00719424460431655,0.0452209660842754,0.0822199383350462,15.203125,973,192.024,85.5,"0","PG"
0.11968085106383,0.215425531914894,0.0611702127659574,0.140957446808511,0.0132978723404255,0.0292553191489362,0.00797872340425532,0.0345744680851064,0.140957446808511,0.023936170212766,0.00265957446808511,0.0718085106382979,0.0718085106382979,13.4285714285714,125.333333333333,185.928,81,"0","PG"
0.105042016806723,0.201680672268908,0.00420168067226891,0.00420168067226891,0.046218487394958,0.0798319327731092,0.0882352941176471,0.172268907563025,0.0126050420168067,0.0168067226890756,0.0756302521008403,0.0378151260504202,0.172268907563025,6.61111111111111,238,186.2328,106.65,"0","C"
0.0961538461538462,0.223557692307692,0.0216346153846154,0.0889423076923077,0.0608974358974359,0.0753205128205128,0.00961538461538462,0.0913461538461538,0.155448717948718,0.032051282051282,0.0016025641025641,0.0769230769230769,0.0905448717948718,17.0958904109589,1248,192.024,85.5,"0","PG"
0.185929648241206,0.386934673366834,0.0050251256281407,0.0050251256281407,0.0804020100502513,0.110552763819095,0.120603015075377,0.256281407035176,0.0251256281407035,0.0251256281407035,0.0402010050251256,0.0402010050251256,0.0904522613065327,11.7058823529412,199,207.264,98.55,"0","PF"
0.0735183795948987,0.1807951987997,0.0165041260315079,0.0555138784696174,0.0277569392348087,0.0450112528132033,0.018754688672168,0.107276819204801,0.14178544636159,0.059264816204051,0.0277569392348087,0.067516879219805,0.134283570892723,17.0897435897436,1333,192.024,92.25,"0","PG"
0.0958904109589041,0.205479452054795,0.0753424657534247,0.246575342465753,0.0342465753424658,0.0616438356164384,0.0616438356164384,0.232876712328767,0.0547945205479452,0.0136986301369863,0.0136986301369863,0.102739726027397,0.0479452054794521,7.68421052631579,146,186.2328,110.25,"0","PF"
0.209923664122137,0.422391857506361,0.0470737913486005,0.125954198473282,0.244274809160305,0.311704834605598,0.0788804071246819,0.232824427480916,0.0852417302798982,0.0356234096692112,0.0979643765903308,0.150127226463104,0.143765903307888,25.3548387096774,786,213.36,126,"1","C"
0.145077720207254,0.354922279792746,0.0207253886010363,0.0595854922279793,0.0932642487046632,0.129533678756477,0.0103626943005181,0.101036269430052,0.152849740932642,0.0492227979274611,0.0207253886010363,0.0829015544041451,0.101036269430052,9.19047619047619,386,179.832,79.2,"0","PG"
0.0772765246449457,0.182539682539683,0.0572263993316625,0.147451963241437,0.0622389306599833,0.0747702589807853,0.0171261487050961,0.0764411027568922,0.144110275689223,0.0355054302422723,0.00793650793650794,0.0588972431077694,0.0756056808688388,26.0217391304348,798,182.88,80.1,"0","PG"
0.0420219244823386,0.087088915956151,0.0347137637028015,0.116930572472594,0.0286236297198538,0.0377588306942753,0.0341047503045067,0.101705237515225,0.0414129110840439,0.0322777101096224,0.0158343483556638,0.0280146163215591,0.0767356881851401,20.2716049382716,1642,204.216,99,"0","PF"
0.0701754385964912,0.164912280701754,0.0631578947368421,0.189473684210526,0.0210526315789474,0.0245614035087719,0.0105263157894737,0.0771929824561404,0.0842105263157895,0.00701754385964912,0.00350877192982456,0.0421052631578947,0.0736842105263158,7.91666666666667,285,188.976,92.25,"0","SG"
0.0909090909090909,0.220779220779221,0.0692640692640693,0.199134199134199,0.0952380952380952,0.12987012987013,0.00865800865800866,0.0952380952380952,0.116883116883117,0.038961038961039,0.00432900432900433,0.0952380952380952,0.0952380952380952,13.5882352941176,231,188.976,83.25,"0","PG"
0.0582010582010582,0.137566137566138,0.0529100529100529,0.0846560846560847,0.0582010582010582,0.0846560846560847,0.0317460317460317,0.0952380952380952,0.037037037037037,0.037037037037037,0.0105820105820106,0.0211640211640212,0.100529100529101,7,189,198.12,98.55,"0","SG"
0.0797546012269939,0.202453987730061,0.0368098159509202,0.0674846625766871,0.0613496932515337,0.128834355828221,0.0552147239263804,0.177914110429448,0.0306748466257669,0.0122699386503067,0.0858895705521472,0.0674846625766871,0.134969325153374,7.40909090909091,163,213.36,117,"0","C"
0.0508819538670285,0.139077340569878,0.0298507462686567,0.10651289009498,0.101085481682497,0.132293080054274,0.0162822252374491,0.0773405698778833,0.135006784260516,0.0373134328358209,0.014246947082768,0.0583446404341927,0.132293080054274,20.4722222222222,1474,201.168,95.85,"0","PG"
0.183534743202417,0.340634441087613,0.00377643504531722,0.0120845921450151,0.0694864048338369,0.095166163141994,0.129154078549849,0.251510574018127,0.0732628398791541,0.0317220543806647,0.0279456193353474,0.0762839879154079,0.11404833836858,18.3888888888889,1324,186.2328,112.5,"0","C"
0.09741114523914,0.219394471259324,0.0245721807810443,0.0824923211935059,0.0587977182974989,0.0943396226415094,0.0267661254936376,0.113207547169811,0.0732777534006143,0.0223782360684511,0.01623519087319,0.0513383062746819,0.0697674418604651,28.8481012658228,2279,207.264,85.5,"0","SF"
0.105882352941176,0.2,0.0117647058823529,0.0117647058823529,0.0470588235294118,0.129411764705882,0.117647058823529,0.176470588235294,0.0117647058823529,0.0235294117647059,0.0588235294117647,0.0823529411764706,0.188235294117647,8.5,85,185.928,110.25,"0","C"
0.103346456692913,0.198818897637795,0.0541338582677165,0.166338582677165,0.0551181102362205,0.0679133858267717,0.047244094488189,0.078740157480315,0.0688976377952756,0.0295275590551181,0.0118110236220472,0.0511811023622047,0.078740157480315,14.9411764705882,1016,210.312,96.75,"0","SF"
0.187908496732026,0.344771241830065,0.0065359477124183,0.0147058823529412,0.0866013071895425,0.122549019607843,0.0849673202614379,0.183006535947712,0.0457516339869281,0.0277777777777778,0.0228758169934641,0.0620915032679739,0.106209150326797,18.5454545454545,612,185.928,105.75,"0","PF"
0.0632183908045977,0.120689655172414,0.0632183908045977,0.160919540229885,0.0574712643678161,0.0574712643678161,0.0114942528735632,0.0574712643678161,0.166666666666667,0.028735632183908,0.0114942528735632,0.114942528735632,0.114942528735632,9.66666666666667,174,195.072,81,"0","PG"
0.0562248995983936,0.156626506024096,0.0562248995983936,0.208835341365462,0.0562248995983936,0.072289156626506,0.0281124497991968,0.0763052208835341,0.0481927710843374,0.0401606425702811,0.0160642570281124,0.0481927710843374,0.0923694779116466,7.11428571428571,249,207.264,94.05,"0","SF"
0.0913500404203719,0.159256265157639,0.0485044462409054,0.149555375909458,0.0549717057396928,0.0759902991107518,0.0194017784963622,0.134195634599838,0.089733225545675,0.0404203718674212,0.00727566693613581,0.0485044462409054,0.074373484236055,21.7017543859649,1237,201.168,92.25,"0","SF"
0.235042735042735,0.388888888888889,0.0341880341880342,0.0854700854700855,0.0854700854700855,0.153846153846154,0.179487179487179,0.192307692307692,0.0598290598290598,0.0427350427350427,0.0427350427350427,0.0598290598290598,0.213675213675214,13,234,210.312,114.75,"0","C"
0.080672268907563,0.16890756302521,0.0428571428571429,0.136134453781513,0.0890756302521008,0.104201680672269,0.0218487394957983,0.105042016806723,0.0638655462184874,0.0277310924369748,0.0092436974789916,0.0621848739495798,0.130252100840336,17.2463768115942,1190,204.216,96.75,"0","SF"
0.099644128113879,0.192170818505338,0.0516014234875445,0.133451957295374,0.0587188612099644,0.0889679715302491,0.0729537366548043,0.133451957295374,0.0427046263345196,0.0195729537366548,0.0480427046263345,0.0320284697508897,0.151245551601424,9.85964912280702,562,213.36,99.45,"0","C"
