"PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","AWD","Pos"
-2.96422342172693,-1.39247601564862,-2.1748637013574,0.71781928885794,-0.84038446244931,0.72877937461766,0.712346553608399,-1.21672093034999,0.0284379716592413,0.800180824767084,0.00825629373642511,-0.424482427458486,"0","SG"
-1.31158686817802,-1.50808462548596,-0.0228034266922591,0.418244705521039,-0.363107303764139,-1.28727277691994,0.360020824430144,-0.0787906604092602,-0.334375064247506,-0.345566068338044,-0.657383554451774,-0.522530607544971,"0","SF"
-3.80972035791528,-3.35232123704574,-1.17107157674053,1.67915049948655,0.448152592226867,-0.449966621376699,-0.164807800057924,0.958815742612067,-1.08875893505882,-0.830976557038892,0.391752608414443,-0.694181191930702,"0","SG"
-2.62258480385067,-1.47684814722317,-0.335741269029636,-0.330674058612582,0.532136038951858,-0.803354596038901,-0.173539680804924,-0.906223574185831,0.111084427028108,0.206761709594754,-0.569693167100116,0.373019520514403,"0","SG"
-2.62336563751079,-0.188192488793451,1.17323686456858,0.837694845902491,-1.64115672369183,0.00815058173516103,1.3810658879693,0.900354729038432,0.662258656409073,0.422452180206718,-0.073878284142107,-0.271193951134007,"0","SG"
-0.893629883519671,-1.98495423931118,-0.53522927029657,-1.19235387216547,-1.40416776505244,0.479688608998776,0.366287125202772,-0.0809668497333671,1.61060675375173,0.319574712478938,-0.144778426257703,0.355027817823179,"0","SF"
-1.12847397515909,-5.19833922917389,-1.14352626292674,0.330865740287223,-1.01291871530514,-1.0685077768314,-0.0969086631518274,-2.22082148205763,-0.102441968384889,-0.592208014190703,0.412284161421814,-0.592564596073389,"0","PF"
-2.7405192562765,-3.83362333878828,-1.13295908969878,1.30000616216175,1.26757128301684,0.211016860222277,1.09089267769966,-0.592522041046429,-0.141907739403816,-0.933864504214026,-0.277887501014473,0.249088979970428,"0","PF"
-2.64992632469638,0.530576049608012,-1.60547911836358,-0.269421269443907,0.118113597994156,-0.73279867352059,0.127903603859625,-0.39687371460638,-0.389531609401731,0.548749567782543,-0.594480079743301,0.532888713892232,"1","SG"
-0.50533648575531,-0.553714122343384,-1.13807955573645,1.07171882315487,0.0765589651540246,0.036990669310141,0.167870469210925,-0.212036770910564,-0.477421916008844,-0.0638978273528923,0.252346950516069,-0.161847762153645,"1","SF"
