"","Id","Player","Height","Weight","S","Pos","Tm","G","MP","X2P","X2PA","X3P","X3PA","FT","FTA","ORB","DRB","AST","STL","BLK","TOV","PF","Year","Age","PER","ORB.","DRB.","TRB.","AST.","STL.","BLK.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP","FG","FGA","PTS","TRB","FT.","TS.","X3PAr","FTr","FG.","eFG.","X2P.","X3P.","TOV.","AWD","Pos.simple"
"12","1627759","JAYLEN BROWN",201.168,100.35,1,"SF","BOS",78,1341,146,288,46,135,85,124,45,175,64,35,18,68,142,2017,20,10.3,3.8,14.4,9.1,7.2,1.3,1.1,18.1,0.2,1.3,1.5,0.053,-3.1,-0.9,-4,-0.7,192,423,515,220,0.685483870967742,0.539199262919843,0.319148936170213,0.293144208037825,0.453900709219858,0.508274231678487,0.506944444444444,0.340740740740741,0.124642569103307,"1","SF"
"13","1627852","NICOLAS BRUSSINO",207.264,96.75,1,"SF","DAL",54,521,23,46,29,95,17,22,26,69,47,17,8,26,43,2017,23,10.7,5.5,16.2,10.6,13.9,1.7,1.4,16,0,0.6,0.6,0.055,-1.7,0.7,-1,0.1,52,141,150,95,0.772727272727273,0.497743562516591,0.673758865248227,0.156028368794326,0.368794326241135,0.471631205673759,0.5,0.305263157894737,0.147158705003396,"0","SF"
"14","1627737","MARQUESE CHRISS",210.312,108,1,"PF","PHO",82,1743,212,408,72,224,113,181,96,252,60,67,70,108,263,2017,19,12.3,5.8,16.1,10.8,5.2,1.8,3.2,19.7,0.3,1.5,1.8,0.05,-1.6,0,-1.6,0.2,284,632,753,348,0.624309392265193,0.529059636895059,0.354430379746835,0.286392405063291,0.449367088607595,0.506329113924051,0.519607843137255,0.321428571428571,0.131765165194476,"0","PF"
"15","203902","SEMAJ CHRISTON",192.024,85.5,1,"PG","OKC",64,973,65,160,12,63,17,31,19,69,130,28,6,43,79,2017,24,5.7,2.2,7.9,5,18.1,1.4,0.5,12.2,-0.7,0.8,0.1,0.006,-5,-1.3,-6.3,-1.1,77,223,183,88,0.548387096774194,0.386663286004057,0.282511210762332,0.139013452914798,0.345291479820628,0.37219730941704,0.40625,0.19047619047619,0.15376913174081,"0","PG"
"16","1626188","QUINN COOK",185.928,81,3,"PG","TOT",28,376,44,80,22,52,4,10,2,12,52,8,0,26,26,2017,23,11.8297872340426,0.565691489361702,3.63909574468085,2.03191489361702,22.7739361702128,1.07712765957447,0,19.6186170212766,0.0885638297872341,0.0795212765957447,0.168085106382979,0.0465531914893617,-1.71010638297872,-4.20239361702128,-5.9125,-0.15,66,132,158,14,0.4,0.579178885630498,0.393939393939394,0.0757575757575758,0.5,0.583333333333333,0.55,0.423076923076923,0.160098522167488,"0","PG"
"17","1627738","DEYONTA DAVIS",186.2328,106.65,1,"C","MEM",36,238,24,47,0,0,10,18,20,40,2,3,17,8,40,2017,20,10.6,9.3,19.8,14.4,1.3,0.7,6.8,12,0.1,0.4,0.5,0.097,-5.4,1.8,-3.6,-0.1,24,47,58,60,0.555555555555556,0.528040786598689,0,0.382978723404255,0.51063829787234,0.51063829787234,0.51063829787234,0,0.127145581691036,"0","C"
"18","1627098","MALCOLM DELANEY",192.024,85.5,1,"PG","ATL",73,1248,119,278,26,110,75,93,11,113,193,39,1,95,112,2017,27,7.5,1,9.8,5.5,23.1,1.5,0.1,18.3,-1.1,1.3,0.1,0.005,-4.6,-1.2,-5.8,-1.2,145,388,391,124,0.806451612903226,0.455795952625198,0.283505154639175,0.239690721649485,0.373711340206186,0.407216494845361,0.428057553956835,0.236363636363636,0.1813253931898,"0","PG"
"19","1627767","CHEICK DIALLO",207.264,98.55,1,"PF","NOP",17,199,36,76,0,0,15,21,23,50,4,4,7,7,17,2017,20,16.8,12.1,26.7,19.3,3.2,1,2.9,20.5,0.2,0.3,0.5,0.111,-4.6,-1,-5.6,-0.2,36,76,87,73,0.714285714285714,0.510323791647114,0,0.276315789473684,0.473684210526316,0.473684210526316,0.473684210526316,0,0.0758889852558543,"0","PF"
"20","1627739","KRIS DUNN",192.024,92.25,1,"PG","MIN",78,1333,97,240,21,73,36,59,24,142,188,78,36,89,178,2017,22,8.1,2.1,12.6,7.3,19.4,3,2.3,14.2,-1.2,1.3,0.1,0.004,-3.7,1.5,-2.2,-0.1,118,313,293,166,0.610169491525424,0.432204389898513,0.233226837060703,0.188498402555911,0.376996805111821,0.410543130990415,0.404166666666667,0.287671232876712,0.207963361061781,"0","PG"
"21","1627740","HENRY ELLENSON",186.2328,110.25,1,"PF","DET",19,146,13,29,10,35,4,8,8,33,7,1,1,14,6,2017,20,7.5,5.8,25.6,15.3,7.2,0.3,0.6,24.7,-0.4,0.2,-0.2,-0.071,-5.8,-2.4,-8.2,-0.2,23,64,60,41,0.5,0.444312796208531,0.546875,0.125,0.359375,0.4375,0.448275862068966,0.285714285714286,0.171736997055937,"0","PF"
"22","203954","JOEL EMBIID",213.36,126,1,"C","PHI",31,786,164,331,36,98,191,244,61,182,66,27,76,117,112,2017,22,24.1,8.5,25.6,17,16,1.7,7.7,36,0.5,1.5,1.9,0.117,0,3.2,3.2,1,200,429,627,243,0.782786885245902,0.584495488105004,0.228438228438228,0.568764568764569,0.466200466200466,0.508158508158508,0.495468277945619,0.36734693877551,0.179074323497,"1","C"
"23","1627770","KAY FELDER",179.832,79.2,1,"PG","CLE",42,386,55,136,7,22,35,49,3,38,58,18,7,31,38,2017,21,11.2,0.9,10.5,5.9,22.7,2.3,1.5,24.3,-0.3,0.4,0,0.004,-4.9,-1.2,-6.1,-0.4,62,158,166,41,0.714285714285714,0.462241033637781,0.139240506329114,0.310126582278481,0.392405063291139,0.414556962025316,0.404411764705882,0.318181818181818,0.147226443768997,"0","PG"
"24","1627812","YOGI FERRELL",182.88,80.1,3,"PG","TOT",92,2394,184,436,136,352,148,178,40,182,344,84,18,140,180,2017,23,13.1206349206349,1.81938178780284,9.18508771929825,5.31800334168755,23.1958646616541,1.81169590643275,0.675229741019215,19.5752297410192,0.824310776942356,0.893233082706767,1.76123642439432,0.0721695906432748,-0.0838345864661654,-0.68922305764411,-0.723057644110276,0.449540517961571,320,788,924,222,0.831460674157303,0.533290239172592,0.446700507614213,0.225888324873096,0.406091370558376,0.49238578680203,0.422018348623853,0.386363636363636,0.139120756816917,"0","PG"
"25","1627827","DORIAN FINNEYSMITH",204.216,99,1,"PF","DAL",81,1642,68,142,56,191,46,61,55,166,67,52,25,45,125,2017,23,7.7,3.7,12.3,7.8,6,1.6,1.4,11.6,-0.1,1.5,1.4,0.041,-2.8,1.3,-1.5,0.2,124,333,350,221,0.754098360655738,0.48632725655847,0.573573573573574,0.183183183183183,0.372372372372372,0.456456456456456,0.47887323943662,0.293193717277487,0.111155024207094,"0","PF"
"26","1627854","BRYN FORBES",188.976,92.25,1,"SG","SAS",36,285,19,46,17,53,5,6,2,21,23,1,0,11,20,2017,23,5.9,0.8,8.2,4.6,11.7,0.2,0,17.9,-0.2,0.2,0.1,0.014,-3.2,-2.8,-6,-0.3,36,99,94,23,0.833333333333333,0.462416371507281,0.535353535353535,0.0606060606060606,0.363636363636364,0.44949494949495,0.41304347826087,0.320754716981132,0.09765625,"0","SG"
"27","1627868","PATRICIO GARINO",201.168,91.35,1,"SG","ORL",5,43,0,2,0,5,0,0,1,6,0,0,0,3,4,2017,23,-9.2,2.5,15.6,8.9,0,0,0,10.2,-0.2,0,-0.2,-0.25,-14.1,-3.3,-17.3,-0.2,0,7,0,7,0,0,0.714285714285714,0,0,0,0,0,0.3,"0","SG"
"28","1627771","MICHAEL GBINIJE",204.216,90,1,"SG","DET",9,32,1,6,0,4,2,2,2,1,2,0,0,0,2,2017,24,-2.1,6.6,3.5,5.1,7.9,0,0,15,-0.1,0,-0.1,-0.136,-7.7,-2.8,-10.4,-0.1,1,10,4,3,1,0.183823529411765,0.4,0.2,0.1,0.1,0.166666666666667,0,0,"0","SG"
"29","1627875","MARCUS GEORGESHUNT",198.12,101.7,1,"SG","ORL",5,48,1,5,1,2,9,10,1,8,3,1,0,2,5,2017,22,10.2,2.2,18.7,10.2,8.3,1,0,12.3,0.1,0,0.1,0.107,-3.4,-1.3,-4.7,0,2,7,14,9,0.9,0.614035087719298,0.285714285714286,1.42857142857143,0.285714285714286,0.357142857142857,0.2,0.5,0.149253731343284,"0","SG"
"30","1626780","JONATHAN GIBSON",188.976,83.25,1,"PG","DAL",17,231,20,50,15,45,21,29,1,21,26,8,0,21,21,2017,29,9.5,0.5,11.1,5.5,18.8,1.8,0,26.3,-0.3,0.2,-0.1,-0.03,-3.3,-2.2,-5.5,-0.2,35,95,106,22,0.724137931034483,0.491833704528582,0.473684210526316,0.305263157894737,0.368421052631579,0.447368421052632,0.4,0.333333333333333,0.16309412861137,"0","PG"
"31","1626203","TREVEON GRAHAM",198.12,98.55,1,"SG","CHO",27,189,10,25,9,15,10,15,5,17,6,6,1,3,18,2017,23,10.6,2.9,10,6.4,4.7,1.6,0.5,11.8,0.3,0.2,0.4,0.108,-1.5,-1.3,-2.8,0,19,40,57,22,0.666666666666667,0.611587982832618,0.375,0.375,0.475,0.5875,0.4,0.6,0.0604838709677419,"0","SG"
"32","1627773","AJ HAMMONS",213.36,117,1,"C","DAL",22,163,12,32,5,10,9,20,8,28,4,1,13,10,21,2017,24,8.4,5.4,20.9,12.8,3.8,0.3,7.2,17.6,-0.2,0.2,0,-0.001,-7.5,1.9,-5.6,-0.1,17,42,48,36,0.45,0.47244094488189,0.238095238095238,0.476190476190476,0.404761904761905,0.464285714285714,0.375,0.5,0.164473684210526,"0","C"
"33","1626150","ANDREW HARRISON",201.168,95.85,1,"PG","MEM",72,1474,74,204,43,156,148,194,23,113,198,54,20,85,194,2017,22,8.7,1.7,9,5.3,20,1.9,1.3,16.4,0,1.5,1.6,0.051,-2.4,0,-2.5,-0.2,117,360,425,136,0.762886597938144,0.477142087300162,0.433333333333333,0.538888888888889,0.325,0.384722222222222,0.362745098039216,0.275641025641026,0.160268496870051,"0","PG"
"34","1626195","WILLY HERNANGOMEZ",186.2328,112.5,1,"C","NYK",72,1324,242,450,4,15,91,125,170,332,96,41,36,100,150,2017,22,18.9,13.8,27.1,20.4,11.5,1.5,2.2,20.3,1.8,1.6,3.4,0.123,-0.6,0.6,0,0.7,246,465,587,502,0.728,0.564423076923077,0.032258064516129,0.268817204301075,0.529032258064516,0.533333333333333,0.537777777777778,0.266666666666667,0.161290322580645,"0","C"
"35","1627742","BRANDON INGRAM",207.264,85.5,1,"SF","LAL",79,2279,221,499,55,187,133,214,60,257,166,50,36,116,158,2017,19,8.5,2.8,12.8,7.6,10.5,1.1,1.3,16.8,-1,0.7,-0.3,-0.007,-3.1,-0.7,-3.8,-1.1,276,686,740,317,0.621495327102804,0.474261689909762,0.272594752186589,0.311953352769679,0.402332361516035,0.442419825072886,0.442885771543086,0.294117647058824,0.129441171219425,"0","SF"
"36","1627743","DEMETRIUS JACKSON",185.928,90.45,1,"PG","BOS",5,17,2,3,1,1,3,6,2,2,3,0,0,0,0,2017,22,30.8,13.2,13,13.1,28.2,0,0,17.3,0.1,0,0.1,0.386,9.2,-2.8,6.4,0,3,4,10,4,0.5,0.753012048192771,0.25,1.5,0.75,0.875,0.666666666666667,1,0,"0","PG"
"37","203510","PIERRE JACKSON",155.448,81,1,"PG","DAL",8,84,10,28,3,11,6,7,1,8,19,2,0,3,5,2017,25,13,1.3,11.6,6.2,38,1.2,0,25.3,0,0.1,0,0.021,-1.7,-2.8,-4.4,-0.1,13,39,35,9,0.857142857142857,0.415874524714829,0.282051282051282,0.179487179487179,0.333333333333333,0.371794871794872,0.357142857142857,0.272727272727273,0.0665483584738243,"0","PG"
"38","1627744","BRICE JOHNSON",185.928,103.5,1,"PF","LAC",3,9,2,7,0,0,0,0,1,2,1,2,1,1,0,2017,22,17.2,12.8,24.2,18.6,18.6,11.1,9.1,39.8,-0.1,0,0,-0.164,-10.7,12,1.3,0,2,7,4,3,0,0.285714285714286,0,0,0.285714285714286,0.285714285714286,0.285714285714286,0,0.125,"0","PF"
"39","1627745","DAMIAN JONES",185.928,110.25,1,"C","GSW",10,85,8,16,0,0,3,10,9,14,0,1,4,6,15,2017,21,5.3,12.4,17,14.8,0,0.6,3.7,13.4,-0.1,0.1,0,0.018,-7.5,-2.1,-9.6,-0.2,8,16,19,23,0.3,0.465686274509804,0,0.625,0.5,0.5,0.5,0,0.227272727272727,"0","C"
